"state_calc","year","variable","value"
"AL",2020,"out_gid",0.521626235757718
"AL",2020,"out_gic",0.794578586778088
"AL",2020,"seehcp",0.926823385210093
"AL",2022,"stigma_ahs",0.16959489269401
"AL",2022,"stigma_gss",0.345277931869049
"AL",2022,"stigma_family",0.234250362368214
"AL",2022,"knowledge_aware",0.446721901369797
"AL",2022,"risk_behavior",0.398214963405585
"AL",2022,"talkhiv",0.0598878600065108
"AL",2022,"illicit",0.322473808397655
"AL",2022,"homeless_col",0.204105426187085
"AL",2022,"insur_bin",0.861377481658133
"AL",2022,"urbrur",0.744719563217389
"AL",2022,"out_gi",0.856074937658237
"AL",2022,"out_gid",0.774782825662045
"AL",2022,"out_gic",0.782189149646293
"AL",2022,"seehcp",0.786679263116739
"AL",2024,"stigma_ahs",0.270337275916318
"AL",2024,"stigma_gss",0.336780517041205
"AL",2024,"stigma_family",0.371734496536977
"AL",2024,"knowledge_aware",0.496926650065881
"AL",2024,"risk_behavior",0.377354134526892
"AL",2024,"talkhiv",0.250865975801174
"AL",2024,"illicit",0.426222167547144
"AL",2024,"homeless_col",0.133674588006386
"AL",2024,"insur_bin",0.803350367583513
"AL",2024,"urbrur",0.810508452800313
"AL",2024,"out_gi",0.831371864159737
"AL",2024,"out_gid",0.717043603134643
"AL",2024,"out_gic",0.863251544459936
"AL",2024,"seehcp",0.870597978768371
"AR",2016,"stigma_ahs",0.388670381013217
"AR",2016,"stigma_gss",0.448638281350807
"AR",2016,"stigma_family",0.35027060926009
"AR",2016,"knowledge_aware",0.338732457507553
"AR",2016,"risk_behavior",0.142791046482606
"AR",2016,"talkhiv",0.0492614180376765
"AR",2016,"illicit",0.391302685562821
"AR",2016,"homeless_col",0
"AR",2016,"insur_bin",0.902665567003839
"AR",2016,"urbrur",0.554673738559098
"AR",2016,"out_gi",0.901226633714963
"AR",2016,"out_gid",0.558732407703593
"AR",2016,"out_gic",0.755901428711304
"AR",2016,"seehcp",0.873029960734559
"AR",2018,"stigma_ahs",0.0814690556362507
"AR",2018,"stigma_gss",0.483461481022463
"AR",2018,"stigma_family",0.341303872336139
"AR",2018,"knowledge_aware",0.387200929743552
"AR",2018,"risk_behavior",0.300096566090871
"AR",2018,"talkhiv",0.0515451505131748
"AR",2018,"illicit",0.293222774619881
"AR",2018,"homeless_col",0.0989843808938074
"AR",2018,"insur_bin",0.903979497452622
"AR",2018,"urbrur",0.768307303913406
"AR",2018,"out_gi",0.943663532833611
"AR",2018,"out_gid",0.590706709606023
"AR",2018,"out_gic",0.692772729544827
"AR",2018,"seehcp",0.865253894776635
"AR",2020,"stigma_ahs",0.180915346337654
"AR",2020,"stigma_gss",0.385567444718346
"AR",2020,"stigma_family",0.408229513773427
"AR",2020,"knowledge_aware",0.375814461337528
"AR",2020,"risk_behavior",0.170502406364349
"AR",2020,"talkhiv",0.109824989667072
"AR",2020,"illicit",0.390203358473455
"AR",2020,"homeless_col",0.0819623235023001
"AR",2020,"insur_bin",0.679843698766818
"AR",2020,"urbrur",0.633134030102939
"AR",2020,"out_gi",0.930396965452736
"AR",2020,"out_gid",0.557781306070033
"AR",2020,"out_gic",0.793782192631078
"AR",2020,"seehcp",0.860638956815635
"AR",2022,"stigma_ahs",0.108572051376441
"AR",2022,"stigma_gss",0.436150330651019
"AR",2022,"stigma_family",0.214444974890268
"AR",2022,"knowledge_aware",0.561410443957694
"AR",2022,"risk_behavior",0.314940388406451
"AR",2022,"talkhiv",0.0853983547866019
"AR",2022,"illicit",0.217141569813421
"AR",2022,"homeless_col",0.179312863401103
"AR",2022,"insur_bin",0.96765682195089
"AR",2022,"urbrur",0.692642363708115
"AR",2022,"out_gi",0.966767444853605
"AR",2022,"out_gid",0.703405316984012
"AR",2022,"out_gic",0.849261946840975
"AR",2022,"seehcp",0.894488325667325
"AR",2024,"stigma_ahs",0.004769732253027
"AR",2024,"stigma_gss",0.189429273470969
"AR",2024,"stigma_family",0.0603011059011409
"AR",2024,"knowledge_aware",0.369859020577265
"AR",2024,"risk_behavior",0.107391974085881
"AR",2024,"talkhiv",0.0910505463061023
"AR",2024,"illicit",0.20391875971228
"AR",2024,"homeless_col",0.13181941025111
"AR",2024,"insur_bin",0.821951722979241
"AR",2024,"urbrur",0.555470418790545
"AR",2024,"out_gi",0.993624765421483
"AR",2024,"out_gid",0.599725231281114
"AR",2024,"out_gic",0.467561338618108
"AR",2024,"seehcp",0.736646949235053
"AZ",2016,"stigma_ahs",0.34877744058032
"AZ",2016,"stigma_gss",0.475095975724293
"AZ",2016,"stigma_family",0.330120727435489
"AZ",2016,"knowledge_aware",0.430605293275143
"AZ",2016,"risk_behavior",0.212583182169356
"AZ",2016,"talkhiv",0.136869083643877
"AZ",2016,"illicit",0.287541059706421
"AZ",2016,"homeless_col",0.0233175579282729
"AZ",2016,"insur_bin",0.878120275360421
"AZ",2016,"urbrur",0.984738402003441
"AZ",2016,"out_gi",0.924135296039092
"AZ",2016,"out_gid",0.651596624592186
"AZ",2016,"out_gic",0.861706515474577
"AZ",2016,"seehcp",0.819109467643179
"AZ",2018,"stigma_ahs",0.150651464057249
"AZ",2018,"stigma_gss",0.44382310374365
"AZ",2018,"stigma_family",0.198607942992922
"AZ",2018,"knowledge_aware",0.406783367326308
"AZ",2018,"risk_behavior",0.20643711738004
"AZ",2018,"talkhiv",0.0969150248942348
"AZ",2018,"illicit",0.344650166864358
"AZ",2018,"homeless_col",0.0445039711291561
"AZ",2018,"insur_bin",0.912006271364268
"AZ",2018,"urbrur",0.983446629900713
"AZ",2018,"out_gi",0.959433382677989
"AZ",2018,"out_gid",0.739709814984815
"AZ",2018,"out_gic",0.862964889963449
"AZ",2018,"seehcp",0.85584365141643
"AZ",2020,"stigma_ahs",0.136964435620504
"AZ",2020,"stigma_gss",0.385572089179519
"AZ",2020,"stigma_family",0.219588799203317
"AZ",2020,"knowledge_aware",0.530424724264485
"AZ",2020,"risk_behavior",0.224263411822367
"AZ",2020,"talkhiv",0.272428831213547
"AZ",2020,"illicit",0.31097180747717
"AZ",2020,"homeless_col",0.108757626311907
"AZ",2020,"insur_bin",0.724961623775744
"AZ",2020,"urbrur",0.948536673287445
"AZ",2020,"out_gi",0.945262711126162
"AZ",2020,"out_gid",0.773925245789621
"AZ",2020,"out_gic",0.805023136095881
"AZ",2020,"seehcp",0.79721536156743
"AZ",2022,"stigma_ahs",0.120611225388026
"AZ",2022,"stigma_gss",0.48087567708829
"AZ",2022,"stigma_family",0.166127254585851
"AZ",2022,"knowledge_aware",0.578693681236152
"AZ",2022,"risk_behavior",0.296778745615347
"AZ",2022,"talkhiv",0.115545565974405
"AZ",2022,"illicit",0.324796303735122
"AZ",2022,"homeless_col",0.110490638479423
"AZ",2022,"insur_bin",0.87833848048793
"AZ",2022,"urbrur",0.963641157032612
"AZ",2022,"out_gi",0.929162577324363
"AZ",2022,"out_gid",0.765717810586818
"AZ",2022,"out_gic",0.831430836272959
"AZ",2022,"seehcp",0.872164402397553
"AZ",2024,"stigma_ahs",0.154221957350596
"AZ",2024,"stigma_gss",0.435876079292909
"AZ",2024,"stigma_family",0.17417066087576
"AZ",2024,"knowledge_aware",0.589025004930419
"AZ",2024,"risk_behavior",0.418015633777301
"AZ",2024,"talkhiv",0.492178108128712
"AZ",2024,"illicit",0.384604113043429
"AZ",2024,"homeless_col",0.0982305677126583
"AZ",2024,"insur_bin",0.957762442879457
"AZ",2024,"urbrur",1
"AZ",2024,"out_gi",0.941489422143485
"AZ",2024,"out_gid",0.69918924078883
"AZ",2024,"out_gic",0.82144706850366
"AZ",2024,"seehcp",0.891594009269475
"CA",2016,"stigma_ahs",0.243412553914636
"CA",2016,"stigma_gss",0.552293538496094
"CA",2016,"stigma_family",0.460703273226904
"CA",2016,"knowledge_aware",0.552255935319568
"CA",2016,"risk_behavior",0.222149650894461
"CA",2016,"talkhiv",0.177223228220503
"CA",2016,"illicit",0.293751154744404
"CA",2016,"homeless_col",0.0597361521649106
"CA",2016,"insur_bin",0.881439580781668
"CA",2016,"urbrur",0.989228732379246
"CA",2016,"out_gi",0.942426892031912
"CA",2016,"out_gid",0.778254750831126
"CA",2016,"out_gic",0.824825853064272
"CA",2016,"seehcp",0.886745854970023
"CA",2018,"stigma_ahs",0.0853572220378707
"CA",2018,"stigma_gss",0.371117195270905
"CA",2018,"stigma_family",0.167760880972996
"CA",2018,"knowledge_aware",0.419307452600298
"CA",2018,"risk_behavior",0.288479061166761
"CA",2018,"talkhiv",0.186053677038067
"CA",2018,"illicit",0.41889651126064
"CA",2018,"homeless_col",0.0863545112705093
"CA",2018,"insur_bin",0.929015438342826
"CA",2018,"urbrur",0.991159086259825
"CA",2018,"out_gi",0.946748113440721
"CA",2018,"out_gid",0.818973430988498
"CA",2018,"out_gic",0.847989776732187
"CA",2018,"seehcp",0.898416930559182
"CA",2020,"stigma_ahs",0.100305737981908
"CA",2020,"stigma_gss",0.37114369079822
"CA",2020,"stigma_family",0.177458283615744
"CA",2020,"knowledge_aware",0.635929956150262
"CA",2020,"risk_behavior",0.272068666834721
"CA",2020,"talkhiv",0.134541537806686
"CA",2020,"illicit",0.314678858396687
"CA",2020,"homeless_col",0.0954906153905308
"CA",2020,"insur_bin",0.819587335403588
"CA",2020,"urbrur",0.993743996735759
"CA",2020,"out_gi",0.963826130769399
"CA",2020,"out_gid",0.804890979959738
"CA",2020,"out_gic",0.826068631748698
"CA",2020,"seehcp",0.878434693046407
"CA",2022,"stigma_ahs",0.0869801220265635
"CA",2022,"stigma_gss",0.346002415390221
"CA",2022,"stigma_family",0.136833139872899
"CA",2022,"knowledge_aware",0.646791083808232
"CA",2022,"risk_behavior",0.427590313813065
"CA",2022,"talkhiv",0.106060857170636
"CA",2022,"illicit",0.378461335600017
"CA",2022,"homeless_col",0.0910807938253775
"CA",2022,"insur_bin",0.935882437817634
"CA",2022,"urbrur",0.977279198648827
"CA",2022,"out_gi",0.94206708053097
"CA",2022,"out_gid",0.855442801004922
"CA",2022,"out_gic",0.818567979423387
"CA",2022,"seehcp",0.852204817755035
"CA",2024,"stigma_ahs",0.152101450450674
"CA",2024,"stigma_gss",0.423827522243004
"CA",2024,"stigma_family",0.229222909357477
"CA",2024,"knowledge_aware",0.642185069714861
"CA",2024,"risk_behavior",0.478034412780778
"CA",2024,"talkhiv",0.0855589435090116
"CA",2024,"illicit",0.376459735510485
"CA",2024,"homeless_col",0.10583860618053
"CA",2024,"insur_bin",0.941548080873378
"CA",2024,"urbrur",0.967551679278783
"CA",2024,"out_gi",0.933826660047879
"CA",2024,"out_gid",0.842584782212384
"CA",2024,"out_gic",0.77306155402849
"CA",2024,"seehcp",0.865143664309655
"CO",2016,"stigma_ahs",0.391953955170562
"CO",2016,"stigma_gss",0.46081626628558
"CO",2016,"stigma_family",0.382645342107355
"CO",2016,"knowledge_aware",0.526269798672673
"CO",2016,"risk_behavior",0.240351166256813
"CO",2016,"talkhiv",0.142086391893575
"CO",2016,"illicit",0.306421099981937
"CO",2016,"homeless_col",0.102305748855217
"CO",2016,"insur_bin",0.882070596409846
"CO",2016,"urbrur",0.867495416898966
"CO",2016,"out_gi",0.913136871905511
"CO",2016,"out_gid",0.740760742653373
"CO",2016,"out_gic",0.901484521359759
"CO",2016,"seehcp",0.879033703788157
"CO",2018,"stigma_ahs",0.107286059261171
"CO",2018,"stigma_gss",0.441611873889
"CO",2018,"stigma_family",0.283400733443366
"CO",2018,"knowledge_aware",0.375628506272482
"CO",2018,"risk_behavior",0.316042996647804
"CO",2018,"talkhiv",0.116852896535957
"CO",2018,"illicit",0.416310076333133
"CO",2018,"homeless_col",0.0883677298241742
"CO",2018,"insur_bin",0.905143309198213
"CO",2018,"urbrur",0.958418282998406
"CO",2018,"out_gi",0.9726357242565
"CO",2018,"out_gid",0.773786482389819
"CO",2018,"out_gic",0.885199999060747
"CO",2018,"seehcp",0.863866363993805
"CO",2020,"stigma_ahs",0.0834860670626665
"CO",2020,"stigma_gss",0.309250997578826
"CO",2020,"stigma_family",0.245445444561012
"CO",2020,"knowledge_aware",0.630666371915626
"CO",2020,"risk_behavior",0.218301915966947
"CO",2020,"talkhiv",0.143689355103615
"CO",2020,"illicit",0.430800093398189
"CO",2020,"homeless_col",0.0547834443501726
"CO",2020,"insur_bin",0.800574249036124
"CO",2020,"urbrur",0.951960638246922
"CO",2020,"out_gi",0.933487249099235
"CO",2020,"out_gid",0.843035704652583
"CO",2020,"out_gic",0.930215388642251
"CO",2020,"seehcp",0.789461959931814
"CO",2022,"stigma_ahs",0.08196017141554
"CO",2022,"stigma_gss",0.420046795481578
"CO",2022,"stigma_family",0.225720325693731
"CO",2022,"knowledge_aware",0.641439951194358
"CO",2022,"risk_behavior",0.340017854543847
"CO",2022,"talkhiv",0.109294990281276
"CO",2022,"illicit",0.332406681965182
"CO",2022,"homeless_col",0.0694776012982892
"CO",2022,"insur_bin",0.930056499827475
"CO",2022,"urbrur",0.992138538379584
"CO",2022,"out_gi",0.945377439802312
"CO",2022,"out_gid",0.809948785265878
"CO",2022,"out_gic",0.721848628366395
"CO",2022,"seehcp",0.885982074187325
"CO",2024,"stigma_ahs",0.127369777912626
"CO",2024,"stigma_gss",0.417757133705555
"CO",2024,"stigma_family",0.302501581258861
"CO",2024,"knowledge_aware",0.700817760270195
"CO",2024,"risk_behavior",0.390360772695549
"CO",2024,"talkhiv",0.0778635642737962
"CO",2024,"illicit",0.57015986982282
"CO",2024,"homeless_col",0.130940405851101
"CO",2024,"insur_bin",0.949218682766728
"CO",2024,"urbrur",0.996276816431077
"CO",2024,"out_gi",0.988778022207077
"CO",2024,"out_gid",0.87467445408285
"CO",2024,"out_gic",0.812816877300607
"CO",2024,"seehcp",0.867284480409099
"CT",2016,"stigma_ahs",0.071536531141701
"CT",2016,"stigma_gss",0.156409793133744
"CT",2016,"stigma_family",0.173146247451423
"CT",2016,"knowledge_aware",0.616711174203441
"CT",2016,"risk_behavior",0.169963261103317
"CT",2016,"talkhiv",0.204903676432004
"CT",2016,"illicit",0.321051136725091
"CT",2016,"homeless_col",0.0484087743182024
"CT",2016,"insur_bin",0.940720997224252
"CT",2016,"urbrur",0.917667074376888
"CT",2016,"out_gi",0.885656457183531
"CT",2016,"out_gid",0.843511576736546
"CT",2016,"out_gic",0.813476393493158
"CT",2016,"seehcp",0.914231874735179
"CT",2018,"stigma_ahs",0.0482178691480849
"CT",2018,"stigma_gss",0.370073295596484
"CT",2018,"stigma_family",0.116176888522051
"CT",2018,"knowledge_aware",0.411468551708491
"CT",2018,"risk_behavior",0.194712575969854
"CT",2018,"talkhiv",0.110701018161102
"CT",2018,"illicit",0.241447865866907
"CT",2018,"homeless_col",0.0427053373869389
"CT",2018,"insur_bin",0.924204101758554
"CT",2018,"urbrur",0.94519224104611
"CT",2018,"out_gi",0.88190507783737
"CT",2018,"out_gid",0.757728076284014
"CT",2018,"out_gic",0.776602685104574
"CT",2018,"seehcp",0.902958658213265
"CT",2020,"stigma_ahs",0.0526177806264195
"CT",2020,"stigma_gss",0.442749927560585
"CT",2020,"stigma_family",0.306125812591104
"CT",2020,"knowledge_aware",0.497159570861533
"CT",2020,"risk_behavior",0.0908060869356128
"CT",2020,"talkhiv",0.175882009928652
"CT",2020,"illicit",0.195228931329422
"CT",2020,"homeless_col",0.0594206748216244
"CT",2020,"insur_bin",0.642336867544072
"CT",2020,"urbrur",0.979615486677118
"CT",2020,"out_gi",0.948659654825906
"CT",2020,"out_gid",0.604426095394053
"CT",2020,"out_gic",0.757499409070569
"CT",2020,"seehcp",0.881982796774147
"CT",2022,"stigma_ahs",0.105796634064061
"CT",2022,"stigma_gss",0.441419478354662
"CT",2022,"stigma_family",0.235059585947188
"CT",2022,"knowledge_aware",0.618261576089874
"CT",2022,"risk_behavior",0.314558294845252
"CT",2022,"talkhiv",0.103166785841834
"CT",2022,"illicit",0.435575708671235
"CT",2022,"homeless_col",0.117360280884673
"CT",2022,"insur_bin",1
"CT",2022,"urbrur",0.947992367111152
"CT",2022,"out_gi",0.849357002554508
"CT",2022,"out_gid",0.785537976876088
"CT",2022,"out_gic",0.784562847284984
"CT",2022,"seehcp",0.913859510800165
"CT",2024,"stigma_ahs",0.161783597777845
"CT",2024,"stigma_gss",0.452625923564928
"CT",2024,"stigma_family",0.302810438520491
"CT",2024,"knowledge_aware",0.649238765592084
"CT",2024,"risk_behavior",0.477327541601174
"CT",2024,"talkhiv",0.129261262375828
"CT",2024,"illicit",0.325471662398244
"CT",2024,"homeless_col",0.0756320963397096
"CT",2024,"insur_bin",0.988637516589534
"CT",2024,"urbrur",0.887983270922617
"CT",2024,"out_gi",0.968531777300391
"CT",2024,"out_gid",0.801537779516368
"CT",2024,"out_gic",0.896503180801298
"CT",2024,"seehcp",0.865563457345157
"DE",2016,"stigma_ahs",0.0646856500742738
"DE",2016,"stigma_gss",0.182409363155557
"DE",2016,"stigma_family",0.413797312508253
"DE",2016,"knowledge_aware",0.357281413878034
"DE",2016,"risk_behavior",0.0967540184305866
"DE",2016,"talkhiv",0.270842579437656
"DE",2016,"illicit",0.128310640019208
"DE",2016,"homeless_col",0
"DE",2016,"insur_bin",0.84082130144366
"DE",2016,"urbrur",1
"DE",2016,"out_gi",0.978350016560814
"DE",2016,"out_gid",0.69798770094717
"DE",2016,"out_gic",0.934623812435521
"DE",2016,"seehcp",0.842592421744285
"DE",2018,"stigma_ahs",0.0497074686778569
"DE",2018,"stigma_gss",0.461944105561314
"DE",2018,"stigma_family",0.195078858968428
"DE",2018,"knowledge_aware",0.147082640575308
"DE",2018,"risk_behavior",0.161279096694387
"DE",2018,"talkhiv",0.0771818543921947
"DE",2018,"illicit",0.367951844981443
"DE",2018,"homeless_col",0.0857852525165682
"DE",2018,"insur_bin",0.992157945652018
"DE",2018,"urbrur",1
"DE",2018,"out_gi",0.880777421180182
"DE",2018,"out_gid",0.600059870020919
"DE",2018,"out_gic",0.609946445250018
"DE",2018,"seehcp",0.882604196944482
"DE",2020,"stigma_ahs",0.00975478049887347
"DE",2020,"stigma_gss",0.551171666388792
"DE",2020,"stigma_family",0.168512506258652
"DE",2020,"knowledge_aware",0.743083992938922
"DE",2020,"risk_behavior",0.299811228491344
"DE",2020,"talkhiv",0.224953385049586
"DE",2020,"illicit",0.323703389700742
"DE",2020,"homeless_col",0.0418080678897071
"DE",2020,"insur_bin",0.874853387848219
"DE",2020,"urbrur",1
"DE",2020,"out_gi",0.990550520189546
"DE",2020,"out_gid",0.815966697201273
"DE",2020,"out_gic",0.839848934887127
"DE",2020,"seehcp",0.919743613743885
"DE",2022,"stigma_ahs",0.294103555011228
"DE",2022,"stigma_gss",0.197091986338608
"DE",2022,"stigma_family",0.278452362700716
"DE",2022,"knowledge_aware",0.64223129446348
"DE",2022,"risk_behavior",0.236775013074166
"DE",2022,"talkhiv",0.0729901158002301
"DE",2022,"illicit",0.0740105886629917
"DE",2022,"homeless_col",0.0224669863609175
"DE",2022,"insur_bin",0.947900394097502
"DE",2022,"urbrur",1
"DE",2022,"out_gi",0.983978720584381
"DE",2022,"out_gid",0.783427855688112
"DE",2022,"out_gic",0.824730515270202
"DE",2022,"seehcp",0.945844251557111
"FL",2016,"stigma_ahs",0.3288689052463
"FL",2016,"stigma_gss",0.674694887004691
"FL",2016,"stigma_family",0.512834610973652
"FL",2016,"knowledge_aware",0.498349444053452
"FL",2016,"risk_behavior",0.168472134248294
"FL",2016,"talkhiv",0.194953922362824
"FL",2016,"illicit",0.25478200184728
"FL",2016,"homeless_col",0.0591842977885098
"FL",2016,"insur_bin",0.857802668349833
"FL",2016,"urbrur",0.983641431875961
"FL",2016,"out_gi",0.938095212941687
"FL",2016,"out_gid",0.723793292061727
"FL",2016,"out_gic",0.808930158392496
"FL",2016,"seehcp",0.899243579321929
"FL",2018,"stigma_ahs",0.113862786519963
"FL",2018,"stigma_gss",0.351300937621849
"FL",2018,"stigma_family",0.160880089562727
"FL",2018,"knowledge_aware",0.36142133319435
"FL",2018,"risk_behavior",0.237225312412308
"FL",2018,"talkhiv",0.204358471117531
"FL",2018,"illicit",0.302961118549045
"FL",2018,"homeless_col",0.0664410719616153
"FL",2018,"insur_bin",0.859660452310481
"FL",2018,"urbrur",0.979183237961506
"FL",2018,"out_gi",0.922567225228248
"FL",2018,"out_gid",0.734904636565049
"FL",2018,"out_gic",0.836103796456986
"FL",2018,"seehcp",0.856893946877379
"FL",2020,"stigma_ahs",0.041906452669282
"FL",2020,"stigma_gss",0.304493075710887
"FL",2020,"stigma_family",0.205095320766818
"FL",2020,"knowledge_aware",0.528018023079542
"FL",2020,"risk_behavior",0.309157873020955
"FL",2020,"talkhiv",0.251560198756944
"FL",2020,"illicit",0.333189838427725
"FL",2020,"homeless_col",0.107126296517349
"FL",2020,"insur_bin",0.736498655527532
"FL",2020,"urbrur",0.984355620389151
"FL",2020,"out_gi",0.943738626658205
"FL",2020,"out_gid",0.745735382521833
"FL",2020,"out_gic",0.809271378496778
"FL",2020,"seehcp",0.836982449837406
"FL",2022,"stigma_ahs",0.0913633481607063
"FL",2022,"stigma_gss",0.306029430858474
"FL",2022,"stigma_family",0.182230491815774
"FL",2022,"knowledge_aware",0.581680521580708
"FL",2022,"risk_behavior",0.380650624137745
"FL",2022,"talkhiv",0.1565166336081
"FL",2022,"illicit",0.305658382457714
"FL",2022,"homeless_col",0.132639593341231
"FL",2022,"insur_bin",0.895416626832785
"FL",2022,"urbrur",0.985724536870228
"FL",2022,"out_gi",0.936356216501853
"FL",2022,"out_gid",0.79272202018337
"FL",2022,"out_gic",0.86639786359756
"FL",2022,"seehcp",0.86710411745206
"FL",2024,"stigma_ahs",0.127619492745018
"FL",2024,"stigma_gss",0.355559176245865
"FL",2024,"stigma_family",0.210329996932027
"FL",2024,"knowledge_aware",0.549913184756194
"FL",2024,"risk_behavior",0.370804376546182
"FL",2024,"talkhiv",0.194145183434942
"FL",2024,"illicit",0.307663822790665
"FL",2024,"homeless_col",0.105505342289729
"FL",2024,"insur_bin",0.881563585751193
"FL",2024,"urbrur",0.979142495144783
"FL",2024,"out_gi",0.890568373973857
"FL",2024,"out_gid",0.787854424388915
"FL",2024,"out_gic",0.814522043269842
"FL",2024,"seehcp",0.846071036210926
"GA",2016,"stigma_ahs",0.143619976665091
"GA",2016,"stigma_gss",0.604862705150179
"GA",2016,"stigma_family",0.572227440764367
"GA",2016,"knowledge_aware",0.450827294253741
"GA",2016,"risk_behavior",0.204803376792465
"GA",2016,"talkhiv",0.177601986576871
"GA",2016,"illicit",0.294655172963098
"GA",2016,"homeless_col",0.106007032238539
"GA",2016,"insur_bin",0.805502863593951
"GA",2016,"urbrur",0.880715641563768
"GA",2016,"out_gi",0.953729806105685
"GA",2016,"out_gid",0.717007892505343
"GA",2016,"out_gic",0.853447231485412
"GA",2016,"seehcp",0.886467120503393
"GA",2018,"stigma_ahs",0.140813666422708
"GA",2018,"stigma_gss",0.353527691536253
"GA",2018,"stigma_family",0.233135884132423
"GA",2018,"knowledge_aware",0.311623661395872
"GA",2018,"risk_behavior",0.218765351456784
"GA",2018,"talkhiv",0.183428940336423
"GA",2018,"illicit",0.290952860681685
"GA",2018,"homeless_col",0.114008299773964
"GA",2018,"insur_bin",0.828263235470635
"GA",2018,"urbrur",0.921564460584227
"GA",2018,"out_gi",0.900554920665555
"GA",2018,"out_gid",0.666944300724293
"GA",2018,"out_gic",0.770946526905944
"GA",2018,"seehcp",0.882165291161575
"GA",2020,"stigma_ahs",0.0831863182508922
"GA",2020,"stigma_gss",0.349604569456804
"GA",2020,"stigma_family",0.182317315631461
"GA",2020,"knowledge_aware",0.523335530501521
"GA",2020,"risk_behavior",0.378661171268287
"GA",2020,"talkhiv",0.205327313465606
"GA",2020,"illicit",0.280005512363372
"GA",2020,"homeless_col",0.130340189818415
"GA",2020,"insur_bin",0.749909653708656
"GA",2020,"urbrur",0.897364298009216
"GA",2020,"out_gi",0.909161345719514
"GA",2020,"out_gid",0.721836749240583
"GA",2020,"out_gic",0.837638747339088
"GA",2020,"seehcp",0.884181690823323
"GA",2022,"stigma_ahs",0.0897307101392164
"GA",2022,"stigma_gss",0.310739767034536
"GA",2022,"stigma_family",0.197001917643418
"GA",2022,"knowledge_aware",0.548150377432946
"GA",2022,"risk_behavior",0.388437963183464
"GA",2022,"talkhiv",0.126728536826579
"GA",2022,"illicit",0.287062002552192
"GA",2022,"homeless_col",0.14792318926471
"GA",2022,"insur_bin",0.837250935144359
"GA",2022,"urbrur",0.875107481474476
"GA",2022,"out_gi",0.937226159006737
"GA",2022,"out_gid",0.793513793944559
"GA",2022,"out_gic",0.862916416401297
"GA",2022,"seehcp",0.84842238749189
"GA",2024,"stigma_ahs",0.183221042715939
"GA",2024,"stigma_gss",0.363232758903244
"GA",2024,"stigma_family",0.232218279229065
"GA",2024,"knowledge_aware",0.626623666382034
"GA",2024,"risk_behavior",0.402472976742336
"GA",2024,"talkhiv",0.161744795241388
"GA",2024,"illicit",0.262240809858789
"GA",2024,"homeless_col",0.163886680391297
"GA",2024,"insur_bin",0.903732637221554
"GA",2024,"urbrur",0.949370310807769
"GA",2024,"out_gi",0.945269572090809
"GA",2024,"out_gid",0.804101462865044
"GA",2024,"out_gic",0.788776772499717
"GA",2024,"seehcp",0.903430539403095
"HI",2016,"stigma_ahs",0.0488098007396154
"HI",2016,"stigma_gss",0.80752089711493
"HI",2016,"stigma_family",0.400166927534125
